"home","away","result"
1,2,0.5
1,3,0
1,4,0.5
1,5,0.5
1,6,0.5
1,7,0.5
1,8,0.5
1,9,0.5
1,10,0.5
1,11,0.5
1,12,0.5
1,13,0.5
1,14,0.5
1,15,0
1,16,0.5
1,17,0.5
1,18,0.5
1,19,0.5
1,20,0
2,1,0.5
2,3,0.5
2,4,0.5
2,5,0.5
2,6,0.5
2,7,0.5
2,8,0.5
2,9,0.5
2,10,1
2,11,0.5
2,12,0.5
2,13,1
2,14,0.5
2,15,0.5
2,16,1
2,17,0.5
2,18,0.5
2,19,0.5
2,20,0.5
3,1,1
3,2,0.5
3,4,1
3,5,1
3,6,0.5
3,7,0.5
3,8,1
3,9,0.5
3,10,1
3,11,1
3,12,1
3,13,1
3,14,1
3,15,0.5
3,16,1
3,17,1
3,18,0.5
3,19,0.5
3,20,0.5
4,1,0.5
4,2,0.5
4,3,0
4,5,0.5
4,6,0.5
4,7,0.5
4,8,0.5
4,9,0.5
4,10,0.5
4,11,0.5
4,12,0.5
4,13,0.5
4,14,0.5
4,15,0
4,16,0.5
4,17,0.5
4,18,0.5
4,19,0.5
4,20,0
5,1,0.5
5,2,0.5
5,3,0
5,4,0.5
5,6,0.5
5,7,0.5
5,8,0.5
5,9,0.5
5,10,0.5
5,11,0.5
5,12,0.5
5,13,0.5
5,14,0.5
5,15,0
5,16,0.5
5,17,0.5
5,18,0.5
5,19,0.5
5,20,0
6,1,0.5
6,2,0.5
6,3,0.5
6,4,0.5
6,5,0.5
6,7,0.5
6,8,0.5
6,9,0.5
6,10,0.5
6,11,0.5
6,12,0.5
6,13,0.5
6,14,0.5
6,15,0
6,16,1
6,17,0.5
6,18,0.5
6,19,0.5
6,20,0.5
7,1,0.5
7,2,0.5
7,3,0.5
7,4,0.5
7,5,0.5
7,6,0.5
7,8,0.5
7,9,0.5
7,10,0.5
7,11,0.5
7,12,0.5
7,13,0.5
7,14,0.5
7,15,0.5
7,16,1
7,17,0.5
7,18,0.5
7,19,0.5
7,20,0.5
8,1,0.5
8,2,0.5
8,3,0
8,4,0.5
8,5,0.5
8,6,0.5
8,7,0.5
8,9,0.5
8,10,0.5
8,11,0.5
8,12,0.5
8,13,0.5
8,14,0.5
8,15,0
8,16,0.5
8,17,0.5
8,18,0.5
8,19,0.5
8,20,0
9,1,0.5
9,2,0.5
9,3,0.5
9,4,0.5
9,5,0.5
9,6,0.5
9,7,0.5
9,8,0.5
9,10,1
9,11,0.5
9,12,0.5
9,13,1
9,14,0.5
9,15,0.5
9,16,1
9,17,0.5
9,18,0.5
9,19,0.5
9,20,0.5
10,1,0.5
10,2,0
10,3,0
10,4,0.5
10,5,0.5
10,6,0.5
10,7,0.5
10,8,0.5
10,9,0
10,11,0.5
10,12,0.5
10,13,0.5
10,14,0.5
10,15,0
10,16,0.5
10,17,0.5
10,18,0
10,19,0.5
10,20,0
11,1,0.5
11,2,0.5
11,3,0
11,4,0.5
11,5,0.5
11,6,0.5
11,7,0.5
11,8,0.5
11,9,0.5
11,10,0.5
11,12,0.5
11,13,0.5
11,14,0.5
11,15,0
11,16,0.5
11,17,0.5
11,18,0.5
11,19,0.5
11,20,0
12,1,0.5
12,2,0.5
12,3,0
12,4,0.5
12,5,0.5
12,6,0.5
12,7,0.5
12,8,0.5
12,9,0.5
12,10,0.5
12,11,0.5
12,13,0.5
12,14,0.5
12,15,0
12,16,0.5
12,17,0.5
12,18,0.5
12,19,0.5
12,20,0.5
13,1,0.5
13,2,0
13,3,0
13,4,0.5
13,5,0.5
13,6,0.5
13,7,0.5
13,8,0.5
13,9,0
13,10,0.5
13,11,0.5
13,12,0.5
13,14,0.5
13,15,0
13,16,0.5
13,17,0.5
13,18,0.5
13,19,0.5
13,20,0
14,1,0.5
14,2,0.5
14,3,0
14,4,0.5
14,5,0.5
14,6,0.5
14,7,0.5
14,8,0.5
14,9,0.5
14,10,0.5
14,11,0.5
14,12,0.5
14,13,0.5
14,15,0
14,16,0
14,17,0.5
14,18,0.5
14,19,0.5
14,20,0.5
15,1,1
15,2,0.5
15,3,0.5
15,4,1
15,5,1
15,6,1
15,7,0.5
15,8,1
15,9,0.5
15,10,1
15,11,1
15,12,1
15,13,1
15,14,1
15,16,1
15,17,1
15,18,0.5
15,19,0.5
15,20,0.5
16,1,0.5
16,2,0
16,3,0
16,4,0.5
16,5,0.5
16,6,0
16,7,0
16,8,0.5
16,9,0
16,10,0.5
16,11,0.5
16,12,0.5
16,13,0.5
16,14,0
16,15,0
16,17,0.5
16,18,0
16,19,0
16,20,0
17,1,0.5
17,2,0.5
17,3,0
17,4,0.5
17,5,0.5
17,6,0.5
17,7,0.5
17,8,0.5
17,9,0.5
17,10,0.5
17,11,0.5
17,12,0.5
17,13,0.5
17,14,0.5
17,15,0
17,16,0.5
17,18,0.5
17,19,0.5
17,20,0.5
18,1,0.5
18,2,0.5
18,3,0.5
18,4,0.5
18,5,0.5
18,6,0.5
18,7,0.5
18,8,0.5
18,9,0.5
18,10,1
18,11,0.5
18,12,0.5
18,13,0.5
18,14,0.5
18,15,0.5
18,16,1
18,17,0.5
18,19,0.5
18,20,0.5
19,1,0.5
19,2,0.5
19,3,0.5
19,4,0.5
19,5,0.5
19,6,0.5
19,7,0.5
19,8,0.5
19,9,0.5
19,10,0.5
19,11,0.5
19,12,0.5
19,13,0.5
19,14,0.5
19,15,0.5
19,16,1
19,17,0.5
19,18,0.5
19,20,0.5
20,1,1
20,2,0.5
20,3,0.5
20,4,1
20,5,1
20,6,0.5
20,7,0.5
20,8,1
20,9,0.5
20,10,1
20,11,0
20,12,0.5
20,13,1
20,14,0.5
20,15,0.5
20,16,1
20,17,0.5
20,18,0.5
20,19,0.5
