"id","club"
1,"Vasco da Gama / RJ"
2,"Portuguesa / SP"
3,"Fluminense / RJ"
4,"Athletico Paranaense / PR"
5,"Corinthians / SP"
6,"Botafogo / RJ"
7,"Vitória / BA"
8,"Internacional / RS"
9,"Grêmio / RS"
10,"Náutico / PE"
11,"Ponte Preta / SP"
12,"São Paulo / SP"
13,"Criciúma / SC"
14,"Bahia / BA"
15,"Cruzeiro / MG"
16,"Goiás / GO"
17,"Coritiba / PR"
18,"Atlético Mineiro / MG"
19,"Santos / SP"
20,"Flamengo / RJ"
21,"Figueirense / SC"
22,"Sport / PE"
23,"Palmeiras / SP"
24,"Chapecoense / SC"
25,"Joinville / SC"
26,"Avaí / SC"
27,"Santa Cruz / PE"
28,"América / MG"
29,"Atlético / GO"
30,"Paraná / PR"
31,"Ceará / CE"
32,"CSA / AL"
33,"Fortaleza / CE"
34,"Red Bull Bragantino / SP"
35,"Cuiabá / MT"
36,"Juventude / RS"
