"","player_id","player_name","n_win"
"169050","169050","12Weverton Weverton Pereira da ... T(g)P169050",171
"166276","166276","12Cassio Cassio Ramos TP166276",169
"177050","177050","23Fagner Fagner Conserva Lemos RP177050",151
"129292","129292","1Fabio Fabio Deivson Lopes  ... T(g)P129292",150
"332318","332318","38Reinaldo Reinaldo Manoel da Silva RP332318",149
"183977","183977","2Nino Paraíba Severino do Ramo Cle ... TP183977",146
"166061","166061","41Willian Willian Gomes de Siq ... RP166061",145
"292428","292428","27Samuel Samuel Xavier Brito TP292428",144
"331937","331937","20Lucas Lucas Rafael Araujo Lima RP331937",141
"177444","177444","17Everton Ri ... Everton Augusto de B ... TP177444",138
"152788","152788","9Wellington ... Wellington Pereira d... TP152788",134
"177770","177770","1Vanderlei Vanderlei Farias da  ... T(g)P177770",133
"346636","346636","6Rene Rene Rodrigues Martins TP346636",132
"171788","171788","13Thiago Thiago Heleno Henriq ... RP171788",131
"291738","291738","7Dudu Eduardo Pereira Rodr... TP291738",131
"320839","320839","15Gabriel Gabriel Girotto Franco TP320839",131
"295792","295792","16Eduardo Eduardo Colcenti Antunes RP295792",128
"162248","162248","6Fabio Santos Fabio Santos Romeu TP162248",127
"157280","157280","6Egidio Egidio de Araujo Per ... TP157280",123
"337830","337830","18Gabriel B. Gabriel Barbosa Almeida RP337830",122
"339876","339876","36Diogo Diogo Barbosa Mendanha TP339876",121
"161625","161625","10Diego Souza Diego de Souza Andrade TP161625",120
"178620","178620","13Patric Patric Cabral Lalau RP178620",120
"178854","178854","4Gil Carlos Gilberto do N ... T(g)P178854",120
"165065","165065","2Pará Marcos Rogerio Ricci ... TP165065",119
"317751","317751","27Alisson Alisson Euler de Fre ... TP317751",117
"176390","176390","2Marcos Marcos Luis Rocha Aquino RP176390",115
"312950","312950","32Mayke Roch ... Mayke Rocha de Oliveira RP312950",115
"168008","168008","13David David Braz Oliveira  ... RP168008",113
"308348","308348","32Danilo Danilo Das Neves Pin ... TP308348",113
"172189","172189","20Robinho Robson Michael Signorini TP172189",113
"157264","157264","1Marcelo Marcelo Lomba do Nas... T(g)P157264",112
"307317","307317","11Pablo Pablo Felipe Teixeira TP307317",111
"306616","306616","20Nikão Maycon Vinicius Ferr ... RP306616",111
"337261","337261","28Adilson Adilson dos Anjos Ol ... RP337261",111
"303718","303718","27Yago Yago Felipe da Costa... RP303718",110
"184364","184364","8Paulo Henr ... Paulo Henrique Chaga ... TP184364",110
"182423","182423","3Messias Manoel Messias Silva... TP182423",110
"313426","313426","40Gustavo Gustavo Henrique Fur ... RP313426",110
"170272","170272","2Victor Victor Ferraz Macedo TP170272",109
"178875","178875","4Ernando Ernando Rodrigues Lopes TP178875",109
"167509","167509","4Rever Rever Humberto Alves... TP167509",109
"315585","315585","8Patrick Patrick Bezerra do N ... TP315585",109
"346745","346745","18Luciano Luciano da Rocha Neves TP346745",109
"156659","156659","1Victor Victor Leandro Bagy T(g)P156659",108
"294769","294769","46Vinicius Vinicius Goes Barbos ... RP294769",108
"375634","375634","18Marcos Marcos da Silva Franca RP375634",107
"148994","148994","9Fred Frederico Chaves Guedes TP148994",106
"293393","293393","86Paulo Marcos Paulo Marcos de Jesu ... RP293393",106
"151437","151437","11Rafael Moura Rafael Martiniano de... TP151437",105
"316645","316645","7Rodrigo Rodrigo Caio Coquett... TP316645",105
"178361","178361","22Everton Everton Cardoso Silva TP178361",103
"306270","306270","21Edenilson Edenilson Andrade do ... TP306270",103
"330886","330886","37Jose Jose Rafael Vivian RP330886",103
"293420","293420","17Willian Willian Souza Arao d... RP293420",102
"364829","364829","11Yago Glaybson Yago Souza ... TP364829",102
"155840","155840","8Cicero Cicero Santos TP155840",101
"184307","184307","37Marinho Mario Sergio Santos  ... RP184307",101
"175557","175557","11Felipe Felipe Azevedo dos S... TP175557",101
"189822","189822","89Thiago Thiago Galhardo do N... RP189822",101
"401839","401839","9Bruno Bruno Henrique Pinto TP401839",101
"292132","292132","15Bruno Bruno Henrique Corsini RP292132",100
"307245","307245","31Victor Victor Vinicius Coel... RP307245",100
"188398","188398","1Everson Everson Felipe Marqu... T(g)P188398",99
"312015","312015","14Bruno Fabi ... Bruno Fabiano Alves RP312015",99
"376734","376734","19Clayson Clayson Henrique da  ... RP376734",99
"521990","521990","10de Arrasca ... Giorgian Daniel de A... TP521990",99
"295418","295418","36Ramiro Ramiro Moschen Benetti RP295418",98
"169938","169938","17Bruno Bruno Cesar Pereira  ... TP169938",97
"177885","177885","17Rodriguinho Rodrigo Eduardo Cost... RP177885",97
"186450","186450","14Gustavo Gustavo Henrique Vernes RP186450",97
"185444","185444","18Gilberto Gilberto Oliveira So... RP185444",97
"430588","430588","27David David Correia da Fonseca RP430588",97
"165322","165322","3Geromel Pedro Tonon Geromel TP165322",95
"177411","177411","17Osvaldo Osvaldo Lourenco Filho TP177411",95
"292942","292942","9Andre Andre Felipe Ribeiro ... RP292942",95
"184600","184600","5Wellington Wellington Aparecido... RP184600",94
"321829","321829","2Madson Madson Ferreira dos ... TP321829",94
"409960","409960","26Luan Luan Guilherme de Je ... TP409960",94
"159607","159607","8Elias Elias Mendes Trindade TP159607",93
"162907","162907","8Marcio Ara ... Marcio Rodrigues Araujo TP162907",93
"170077","170077","2Eduardo Carlos Eduardo Santo ... TP170077",93
"293428","293428","33Aderbar Aderbar Melo dos San... RP293428",92
"175320","175320","6Uendel Uendel Pereira Goncalves TP175320",92
"295821","295821","10Marcos Marcos Guilherme de  ... TP295821",92
"308405","308405","20Raphael Raphael Cavalcante Veiga RP308405",92
"322748","322748","18Vitor Vitor Frezarin Bueno RP322748",91
"291780","291780","10Rogerio Jose Rogerio de Oliv... TP291780",91
"149233","149233","10Jadson Jadson Rodrigues da ... TP149233",90
"313755","313755","14Danilo Danilo Carvalho Barcelos RP313755",90
"190389","190389","10Marquinhos Marcos Gabriel do Na... TP190389",90
"173180","173180","7Jean Jean Raphael Vanderl... TP173180",90
"298595","298595","27Luan Luan Madson Gedeao d... TP298595",90
"567555","567555","15Victor Cuesta Victor Leandro Cuesta TP567555",90
"137705","137705","3Leo Silva Leonardo Fabiano da ... TP137705",89
"155508","155508","1Junior Wilson Rodrigues de  ... T(g)P155508",88
"150549","150549","23Rafael Sobis Rafael Augusto Sobis TP150549",87
"167958","167958","3Welington Welington Pereira Ro ... TP167958",87
"293440","293440","7Marcelo Marcelo Cirino da Silva TP293440",87
"170812","170812","8Henrique Henrique Pacheco de Lima RP170812",87
"186140","186140","30Carlinho Carlos Emiliano Pereira RP186140",87
"333975","333975","2Bruno Pach ... Bruno de Jesus Pacheco TP333975",87
"298642","298642","27Elber Jose Elber Pimentel  ... RP298642",87
"379065","379065","23Everton Everton Sousa Soares RP379065",87
"175475","175475","3Matheus Matheus Ferraz Pereira TP175475",86
"292592","292592","21Lucca Lucca Borges de Brito RP292592",86
"320111","320111","16Lucas Lucas Silva Borges RP320111",86
"184455","184455","5Rodrigo Rodrigo Oliveira Lindoso TP184455",85
"313780","313780","7Welison José Welison da Silva TP313780",85
"302192","302192","7Jadson Jadson Alves dos Santos TP302192",85
"150801","150801","30Felipe Melo Felipe Melo de Carvalho TP150801",84
"339155","339155","29Wanderson Wanderson Ferreira d ... RP339155",83
"339258","339258","26Guilherme Guilherme Antonio Ar... RP339258",83
"304434","304434","16Hyoran Hyoran Kaue Dalmoro RP304434",82
"137990","137990","12Diego Diego Cavalieri TP137990",81
"150151","150151","9Ricardo Ol ... Ricardo de Oliveira TP150151",81
"159684","159684","23Kaufmann Fernando Miguel Kaufmann RP159684",81
"184833","184833","15Rithely Francisco Rithely da... RP184833",81
"331842","331842","16Sousa Jean Mota Oliveira d... RP331842",81
"299481","299481","10Dalessandro Andres Nicolas Dales... TP299481",81
"307366","307366","30Johnath Johnath Marlone Azev... RP307366",81
"384124","384124","46Thiago Thiago Maia Alencar RP384124",81
"141516","141516","6Durval Severino dos Ramos D ... TP141516",80
"307406","307406","14Luan Luan Garcia Teixeira TP307406",80
"291708","291708","21Luccas Claro Luccas Claro dos Santos RP291708",80
"402681","402681","36Luis Luis Antonio da Roch ... RP402681",80
"181803","181803","8Elton Elton Junior Melo Ataide TP181803",79
"179832","179832","18Walter Walter Henrique da Silva TP179832",79
"309431","309431","35Victor Victor Luis Chuab Za... RP309431",79
"308980","308980","21Alison Alison Lopes Ferreira RP308980",79
"353568","353568","2Rodinei Rodinei Marcelo de A... TP353568",79
"172576","172576","2Apodi Luiz Diallison de So ... TP172576",78
"321574","321574","16Leonardo Leonardo Cittadini RP321574",78
"352037","352037","34Pedro Pedro Henrique Ribei ... RP352037",78
"292205","292205","10Giovanii Giovanni Augusto Oli... TP292205",78
"320930","320930","20Otavio Otavio Henrique Pass ... RP320930",78
"405246","405246","19Mateus Mateus da Silva Vita ... RP405246",78
"182717","182717","40D. Friedrich Douglas Alan Schuck ... RP182717",77
"175065","175065","77Fabio Fabio Goncalves TP175065",77
"298660","298660","1Joao Joao Ricardo Riedi T(g)P298660",77
"296330","296330","13Rodrigo Rodrigo Dourado Cunha TP296330",77
"183873","183873","29Guilherme Guilherme de Aguiar  ... RP183873",77
"309265","309265","13Lucas Lucas Silva Fonseca RP309265",77
"389307","389307","20Roger Roger Krug Guedes RP389307",77
"176729","176729","25Hudson Hudson Rodrigues dos... RP176729",76
"178486","178486","88Giuliano Giuliano Victor de Paula TP178486",76
"180546","180546","15Cortês Bruno Cortes Barbosa RP180546",76
"294382","294382","37Jose Jose Carlos Cracco Neto RP294382",76
"346294","346294","46Pelezinho Leonardo Pinheiro da ... RP346294",76
"420184","420184","9Guerrero Jose Paolo Guerrero  ... TP420184",76
"123823","123823","8Renato Renato Dirnei Florencio RP123823",75
"130014","130014","1Magrão Alessandro Beti Rosa T(g)P130014",75
"172411","172411","4Werley Werley Ananias da Silva TP172411",75
"291317","291317","6William William Matheus da Silva TP291317",75
"357424","357424","21Fellipe Fellipe Ramos Ignez  ... TP357424",75
"335611","335611","10Gabriel Gabriel Santana Pinto TP335611",75
"137644","137644","2Leo Moura Leonardo da Silva Moura TP137644",74
"166603","166603","18Maicon Maicon Thiago Pereir... RP166603",74
"303716","303716","32Pedro Pedro Guilherme Abre... RP303716",74
"307840","307840","16Igor Igor Rabello da Costa RP307840",74
"427806","427806","9Roni Ronielson da Silva B... TP427806",74
"451607","451607","20Luiz Ferna ... Luiz Fernando Moraes... RP451607",74
"136752","136752","2Edu Dracena Eduardo Luis Abonizi ... TP136752",73
"152138","152138","35Diego Riba ... Diego Ribas da Cunha TP152138",73
"162504","162504","7Jo Joao Alves de Assis  ... TP162504",73
"419646","419646","38Artur Artur Victor Guimaraes RP419646",73
"353262","353262","8Thiago Men ... Thiago Henrique Mend... TP353262",73
"311336","311336","19Gigio Geuvanio Santos Silva RP311336",72
"303922","303922","99Leonardo Leonardo Moreira Morais TP303922",72
"379462","379462","21Pedro Pedro Rocha Neves RP379462",72
"161745","161745","33Edilson Edilson Mendes Guimares RP161745",71
"180083","180083","5Willian Willian Roberto de F ... RP180083",71
"384823","384823","40Cleiton Cleiton Schwengber RP384823",71
"293712","293712","35Caçapava Thiago dos Santos RP293712",71
"540839","540839","11Cazares Juan Ramon Cazares S ... TP540839",71
"595193","595193","4Arboleda Robert Abel Arboleda... TP595193",71
"161301","161301","33Henrique Henrique Adriano Buss TP161301",70
"150986","150986","10Nene Anderson Luis de Car ... TP150986",70
"175411","175411","27Paulo Victor Paulo Victor Mileo V... RP175411",70
"174360","174360","3Leonardo Leonardo Renan Simoe ... RP174360",70
"347809","347809","34Jair Jair Rodrigues Junior RP347809",70
"511533","511533","12Roberto To ... Roberto Junior Ferna ... RP511533",70
"348138","348138","2Guilherme Guilherme de Jesus d... TP348138",70
"403112","403112","42Vinicius Vinicius Moreira de Lima RP403112",70
"137377","137377","25Fernando Fernando Buttenbende... T(g)P137377",69
"316754","316754","15Neilton Neilton Meira Mestzk RP316754",69
"402719","402719","14Marcelo Marcelo da Conceiçao... RP402719",69
"379386","379386","33NINO Marcilio Florencio M ... TP379386",69
"165836","165836","8Renato Renato Soares de Oli... TP165836",68
"168387","168387","5Ralf Ralf de Souza Teles TP168387",68
"460683","460683","70Caio Paulista Caio Fernando de Oliveira TP460683",68
"143465","143465","19Alecsandro Alecsandro Barbosa F... TP143465",67
"164019","164019","10Joao Vitor Joao Vitor Lima Gomes TP164019",67
"178303","178303","9Henrique Henrique Almeida Cai... RP178303",67
"169939","169939","5Amaral William Jose de Souza TP169939",67
"170255","170255","4Christian Christian Chagas Tarouco TP170255",67
"295548","295548","15Matheus Matheus Simonete Bre ... TP295548",67
"339900","339900","21Marcos Junio Marcos Junio Lima do ... RP339900",67
"355990","355990","16Sidcley Sidcley Ferreira Pereira RP355990",67
"507462","507462","11Angel Rodr ... Angel Rodrigo Romero... TP507462",67
"305976","305976","19Alan Patrick Alan Patrick Lourenço RP305976",66
"310373","310373","71Leonardo Leonardo Pereira RP310373",66
"161437","161437","11Fernando Fernando Camilo Farias TP161437",65
"159238","159238","1Diego Alves Diego Alves Carreira T(g)P159238",65
"172996","172996","2Bruno Bruno Vieira do Nasc... TP172996",65
"291584","291584","1Tiago Volpi Tiago Luis Volpi T(g)P291584",65
"178704","178704","16Mineiro Moises Lima Magalhaes RP178704",65
"376786","376786","25Richard Richard Candido Coelho TP376786",65
"359696","359696","16Deyverson Deyverson Brum Silva TP359696",65
"378851","378851","28Jose Jose Carlos Ferreira... RP378851",65
"140053","140053","17Wendel Ger ... Wendel Geraldo Mauri ... RP140053",64
"177853","177853","27Walter Walter Leandro Capel ... RP177853",64
"171975","171975","17Bacabal Guilherme Milhomen G... RP171975",64
"163939","163939","8Leandro Do ... Leandro Donizete Gon ... TP163939",64
"291843","291843","19Edson Edson Felipe da Cruz RP291843",64
"308316","308316","23Tadeu Tadeu Antonio Ferreira T(g)P308316",64
"158615","158615","20Rafael Mar ... Rafael Marques Mariano TP158615",64
"314059","314059","7Rossi Rosicley Pereira da ... TP314059",64
"142720","142720","12Aranha Mario Lucio Duarte Costa RP142720",63
"146817","146817","10Douglas Douglas dos Santos RP146817",63
"169835","169835","5Edicarlos Elicarlos Souza Santos TP169835",63
"300394","300394","33Wanderson Wanderson Santos Pereira RP300394",63
"291939","291939","13Aderlan Aderlan de Lima Silva RP291939",63
"373768","373768","6Felipe Felipe Jonatan Rocha ... RP373768",63
"344314","344314","21Nathan Nathan Allan de Souza RP344314",63
"405713","405713","29Marlon Marlon Rodrigues Freitas RP405713",63
"633571","633571","15GUSTAVO GOMEZ GUSTAVO RAUL GOMEZ P ... TP633571",63
"179395","179395","5Junior Paulo Roberto Valour ... TP179395",62
"291651","291651","13Luiz Luiz Otavio Anacleto... TP291651",62
"172408","172408","14Fabricio Fabricio dos Santos  ... TP172408",62
"337713","337713","14Igor Igor Silveira Gomes RP337713",62
"346046","346046","56Sander Sander Henrique Bort... RP346046",62
"339266","339266","29Allan Allan Rodrigues de Souza TP339266",62
"413857","413857","19Romarinho Jose Romario Silva d ... RP413857",62
"120815","120815","10Ze Roberto Jose Roberto da Silv ... TP120815",61
"172123","172123","26Marcelo Ol ... Marcelo Oliveira Fer... TP172123",61
"166649","166649","14Wallace Reis Wallace Reis Silva RP166649",61
"167201","167201","14Gilson Gilson Gomes do Nasc ... RP167201",61
"307134","307134","13Gilberto Gilberto Moraes Junior RP307134",61
"305723","305723","36Regis Regis Augusto Salmazzo RP305723",61
"310733","310733","31Gerson Gerson Santos da Silva RP310733",61
"412852","412852","14Iago Iago Justen Maidana  ... RP412852",61
"168351","168351","12Marcelo Marcelo Grohe RP168351",60
"163518","163518","19Nilton Nilton Ferreira Junior TP163518",60
"174223","174223","8Joao Paulo Joao Paulo da Silva TP174223",60
"307979","307979","25Yuri Yuri Oliveira Lima RP307979",60
"189708","189708","9Henrique D ... Jose Henrique da Sil ... TP189708",60
"389228","389228","34Fabricio Fabricio Bruno Soare... RP389228",60
"376073","376073","26Erick Erick Luis Conrado C ... RP376073",60
"171406","171406","18Rafael Vaz Rafael Vaz dos Santos TP171406",59
"177588","177588","7Alexandre Alexandre Rodrigues  ... RP177588",59
"299840","299840","3Marllon Marllon Goncalves Je ... TP299840",59
"301087","301087","39William William de Oliveira ... RP301087",59
"292833","292833","77Arthur Arthur Caike do Nasc ... RP292833",59
"317445","317445","98Claudio Claudio Rodrigues Gomes TP317445",59
"345210","345210","5Marcos Marcos Antonio Almei... TP345210",59
"155541","155541","88Roger Roger Rodrigues da Silva RP155541",58
"155330","155330","7Michel Bas ... Michel Fernandes Bastos RP155330",58
"302768","302768","29Robson Robson dos Santos Fe ... RP302768",58
"299142","299142","32Jackson Jackson de Souza RP299142",58
"381149","381149","13Messias Messias Rodrigues da... RP381149",58
"399713","399713","11Fernando Fernando Pereira do  ... RP399713",58
"517552","517552","38Martinelli Matheus Martinelli Lima RP517552",58
"554626","554626","4Kannemann Walter Kannemann RP554626",58
"165830","165830","22Danilo Danilo Fernandes Batista RP165830",57
"161656","161656","13Rafinha Marcio Rafael Ferrei ... TP161656",57
"320263","320263","22Matheus Fe ... Matheus Fernandes Si ... RP320263",57
"169286","169286","4Luiz Rhodo ... Luiz Rhodolfo Dini G ... RP169286",57
"354299","354299","2Luiz Luiz Felipe do Nasci... RP354299",57
"308495","308495","21Daniel Daniel Sampaio Simoes RP308495",57
"362877","362877","12João Paulo João Paulo Silva Martins RP362877",57
"310950","310950","11Marcio Marcio Passos de Alb ... TP310950",57
"335312","335312","36Jemerson Jemerson de Jesus Na... RP335312",57
"507566","507566","20Hector Hector Miguel Canteros RP507566",57
"143977","143977","5Edinho Edimo Ferreira Campos TP143977",56
"169888","169888","10Thiago Neves Thiago Neves Augusto RP169888",56
"318115","318115","30Eder Eder Ferreira Graminho RP318115",56
"302795","302795","7Erik Erik Nascimento de Lima TP302795",56
"318481","318481","6Moises Moises Roberto Barbosa R(g)P318481",56
"318309","318309","39Gabriel Co ... Gabriel Costa Franca RP318309",56
"420080","420080","15Luis Luis Antonio Ferreir... TP420080",56
"155991","155991","13Paulo Andre Paulo Andre Cren Benini TP155991",55
"170540","170540","11Wesley Wesley Lopes Beltrame RP170540",55
"300140","300140","31Vitor Hugo Vitor Hugo Franchesc ... TP300140",55
